	MeSH Disease Term	PubMed occurrence
4154	Синдромы трихотиодистрофии	26
4155	Метаболизм пирувата, врожденные ошибки	26
4156	Синдром возобновления питания	26
4157	хондроматоз	25
4158	ларингомаляция	25
4159	Синдром Лойса-Дитца	25
4160	Дефицит карбамоилфосфатсинтазы I	25
4161	Травма отводящего нерва	25
4162	Синдром Когана	25
4163	Пропионовая ацидемия	25
4164	Перипротезные переломы	24
4165	Геморрагическая септицемия	23
4166	Синдром Берта-Хогга-Дюба	23
4167	Женский синдром триады спортсменки	23
4168	Массивный некроз печени	23
4169	Болезнь наполнителя силоса	23
4170	Нарушения миграции нейронов	23
4171	46, XY расстройства полового развития	23
4172	Синдром Лауна-Ганонга-Левина	23
4173	Защемление сухожилия	22
4174	Нарушения цикла мочевины, врожденные	22
4175	Подострая комбинированная дегенерация	22
4176	Ретинальные телеангиэктазии	22
